instnm,State abbreviation (HD2014),Geographic region (HD2014),Level of institution (HD2014),Degree-granting status (HD2014),Total price for out-of-state students living on campus 2014-15 (DRVIC2014),Total price for in-state students living on campus 2014-15 (DRVIC2014),Total  enrollment (DRVEF2014),Number of students receiving a Doctor's degree (DRVC2014),Number of students receiving a Master's degree (DRVC2014),Number of students receiving a Bachelor's degree (DRVC2014),Percent admitted - total (DRVIC2013_RV),Admissions yield - total (DRVIC2013_RV),Percent admitted - men (DRVIC2013_RV),Percent admitted - women (DRVIC2013_RV)
BJ's Beauty & Barber College,WA,8,2,2,,,98,,,,,,,
Black Hawk College,IL,3,2,1,,,6307,,,,,,,
Black Hills Beauty College,SD,4,2,2,,,109,,,,,,,
Black Hills State University,SD,4,1,1,21927,19447,4489,0,68,504,89,72,88,90
Black River Technical College,AR,5,2,1,,,1963,,,,,,,
Blackburn College,IL,3,1,1,27960,27960,585,0,0,101,68,32,67,69
Blackfeet Community College,MT,7,2,1,,,495,,,,,,,
Blackhawk Technical College,WI,3,2,1,,,2471,,,,,,,
Blackstone Valley Vocational Regional School District,MA,1,3,2,,,48,,,,,,,
Bladen Community College,NC,5,2,1,,,1334,,,,,,,
Blades School of Hair Design,MD,2,3,2,,,99,,,,,,,
Blake Austin College,CA,8,3,2,,,312,,,,,,,
BLALOCKS PROFESSIONAL BEAUTY COLLEGE,LA,5,3,2,,,17,,,,,,,
Blessed John XXIII National Seminary,MA,1,1,1,,,65,0,16,0,,,,
Blessing Hospital School of Medical Laboratory Technology,IL,3,3,2,,,4,,,,,,,
Blessing Hospital School of Radiologic Technology,IL,3,2,2,,,20,,,,,,,
Blessing Rieman College of Nursing,IL,3,1,1,,,253,0,3,55,,,,
Blinn College,TX,6,2,1,17024,15224,18850,,,,,,,
Bloomfield College,NJ,2,1,1,42146,42146,2004,0,5,305,55,22,55,54
Bloomsburg University of Pennsylvania,PA,2,1,1,33052,22602,9998,13,293,1820,89,27,87,90
Blue Cliff Career College,AL,5,3,2,,,82,,,,,,,
Blue Cliff College-Alexandria,LA,5,2,1,,,271,,,,,,,
Blue Cliff College-Fayetteville,AR,5,3,2,,,412,,,,,,,
Blue Cliff College-Gulfport,MS,5,2,1,,,178,,,,,,,
Blue Cliff College-Houma,LA,5,3,2,,,218,,,,,,,
Blue Cliff College-Lafayette,LA,5,3,2,,,307,,,,,,,
Blue Cliff College-Metairie,LA,5,2,1,,,892,,,,,,,
Blue Cliff College-Shreveport,LA,5,2,1,,,253,,,,,,,
Blue Hills Regional Technical School,MA,1,3,2,,,56,,,,50,71,0,54
Blue Mountain College,MS,5,1,1,19634,19634,544,0,7,104,56,25,61,53
Blue Mountain Community College,OR,8,2,1,,,1731,,,,,,,
Blue Ridge Community and Technical College,WV,5,2,1,,,5528,,,,,,,
Blue Ridge Community College,NC,5,2,1,,,2215,,,,,,,
Blue Ridge Community College,VA,5,2,1,,,4388,,,,,,,
Blue Sky School of Professional Massage and Therapeutic Bodywork,WI,3,3,2,,,72,,,,,,,
Blue Water College of Cosmetology Inc,MI,3,3,2,,,39,,,,,,,
Bluefield College,VA,5,1,1,36267,36267,944,0,0,223,91,20,88,94
Bluefield State College,WV,5,1,1,,,1563,0,0,234,43,64,41,43
Bluegrass Community and Technical College,KY,5,2,1,,,10952,,,,,,,
Bluffton University,OH,3,1,1,42948,42948,1094,0,43,187,53,26,49,59
Bly's School of Cosmetology,FL,5,3,2,,,77,,,,,,,
Board of Trustees-Mississippi State Institutions of Higher Learning,MS,5,1,1,,,,,,,,,,
Bob Jones University,SC,5,1,1,24110,24110,3108,11,142,599,82,76,82,83
Boca Beauty Academy,FL,5,3,2,,,208,,,,,,,
Body Therapy Institute,NC,5,3,2,,,94,,,,,,,
Boise Barber College,ID,7,2,2,,,42,,,,,,,
Boise Bible College,ID,7,1,1,26565,26565,175,0,0,23,100,72,100,100
Boise State University,ID,7,1,1,32612,19760,22227,34,640,2764,78,36,73,82
Bold Beauty Academy,MT,7,2,2,,,167,,,,,,,
Bon Secours Memorial College of Nursing,VA,5,1,1,,,489,0,0,75,57,100,,57
Bon Secours St Mary's Hospital School of Medical Imaging,VA,5,2,2,,,25,,,,,,,
Bonnie Joseph Academy of Cosmetology and Barbering,UT,7,2,2,,,31,,,,,,,
Boricua College,NY,2,1,1,,,1163,0,7,132,,,,
Borner's Barber College,CA,8,3,2,,,29,,,,,,,
Bos-Man's Barber College,LA,5,3,2,,,24,,,,,,,
Bossier Parish Community College,LA,5,2,1,,,8693,,,,,,,
Boston Architectural College,MA,1,1,1,,,876,0,110,77,,,,
Boston Baptist College,MA,1,1,1,31584,31584,94,0,0,14,81,68,100,65
Boston College,MA,1,1,1,63022,63022,14317,430,1326,2341,32,28,33,31
Boston Graduate School of Psychoanalysis Inc,MA,1,1,1,,,136,9,19,0,,,,
Boston University,MA,1,1,1,63644,63644,32112,1107,4225,4293,46,19,43,48
Bowdoin College,ME,1,1,1,61650,61650,1805,0,0,491,15,47,17,14
Bowie State University,MD,2,1,1,31367,20791,5695,7,278,741,52,30,51,52
Bowling Green State University-Firelands,OH,3,2,1,,,2287,,,,,,,
Bowling Green State University-Main Campus,OH,3,1,1,31566,24258,16554,106,760,2947,72,29,73,72
Bradford School,PA,2,2,1,28032,28032,413,,,,88,26,88,89
Bradford School,OH,3,2,1,24567,24567,443,,,,,,,
